Location,Cultivar,ID,Rep,Num_Germ,Total_Num,Dry_Weight
CFAR,Gardensoy_32,2,1,23,25,6.8
Monmouth,L05_2503,5,3,22,25,8.9
Monmouth,Gardensoy_32,6,2,25,25,6.79
CFAR,IA_3023,3,3,24,25,3.86
CFAR,Williams_82,4,2,23,25,4.13
CFAR,Gardensoy_32,2,3,24,25,6.32
CFAR,IA_3023,3,2,22,25,4.16
Monmouth,L05_2503,5,1,13,25,5.22
CFAR,L05_2503,1,3,21,25,7.7
CFAR,IA_3023,3,1,25,25,4.05
Monmouth,IA_3023,7,3,23,25,4.42
Monmouth,Gardensoy_32,6,3,21,25,5.99
Monmouth,IA_3023,7,1,21,25,3.79
Monmouth,IA_3023,7,2,25,25,3.98
CFAR,L05_2503,1,2,22,25,8.21
Monmouth,L05_2503,5,2,18,25,6.36
CFAR,Williams_82,4,3,22,25,3.22
CFAR,Williams_82,4,1,24,25,3.32
Monmouth,Gardensoy_32,6,1,22,25,6.18
CFAR,Gardensoy_32,2,2,24,25,5
CFAR,L05_2503,1,1,22,25,7.59
